nome_associado;sobrenome_associado;idade_associado;vlr_transacao_movimento;des_tranacao_movimento;data_movimento;numero_cartao;nome_impresso_cartao;data_criacao_cartao;tipo_conta;data_criacao_conta
Nome79;Sobrenome79;47;389.00;Compra Online;2024-08-17 17:16:35;4000000000000791;Nome79;2025-06-13 17:16:35;J;2025-06-13 17:16:35
Nome81;Sobrenome81;49;691.00;Restaurante;2023-10-20 17:16:35;4000000000000811;Nome81;2025-06-11 17:16:35;J;2025-06-11 17:16:35
Nome48;Sobrenome48;66;958.00;Supermercado;2023-01-26 17:16:35;4000000000000481;Nome48;2025-07-14 17:16:35;F;2025-07-14 17:16:35
Nome30;Sobrenome30;48;490.00;Supermercado;2024-05-08 17:16:35;4000000000000301;Nome30;2025-08-01 17:16:35;F;2025-08-01 17:16:35
Nome66;Sobrenome66;34;676.00;Pagamento Aluguel;2023-11-04 17:16:35;4000000000000661;Nome66;2025-06-26 17:16:35;F;2025-06-26 17:16:35
Nome1;Sobrenome1;19;111.00;Restaurante;2025-05-22 17:16:35;4000000000001011;Nome1;2025-05-22 17:16:35;J;2025-05-22 17:16:35
Nome94;Sobrenome94;62;404.00;Pagamento Aluguel;2024-08-02 17:16:35;4000000000000941;Nome94;2025-05-29 17:16:35;F;2025-05-29 17:16:35
Nome26;Sobrenome26;44;636.00;Pagamento Aluguel;2023-12-14 17:16:35;4000000000000261;Nome26;2025-08-05 17:16:35;F;2025-08-05 17:16:35
Nome27;Sobrenome27;45;37.00;Compra Online;2025-08-04 17:16:35;4000000000000271;Nome27;2025-08-04 17:16:35;J;2025-08-04 17:16:35
Nome27;Sobrenome27;45;307.00;Restaurante;2024-11-07 17:16:35;4000000000000272;Nome27;2025-08-04 17:16:35;J;2025-08-04 17:16:35
Nome44;Sobrenome44;62;954.00;Supermercado;2023-01-30 17:16:35;4000000000000441;Nome44;2025-07-18 17:16:35;F;2025-07-18 17:16:35
Nome93;Sobrenome93;61;553.00;Compra Online;2024-03-06 17:16:35;4000000000000931;Nome93;2025-05-30 17:16:35;J;2025-05-30 17:16:35
Nome13;Sobrenome13;31;873.00;Compra Online;2023-04-21 17:16:35;4000000000001131;Nome13;2025-05-10 17:16:35;J;2025-05-10 17:16:35
Nome1;Sobrenome1;19;461.00;Compra Online;2024-06-06 17:16:35;4000000000000011;Nome1;2025-08-30 17:16:35;J;2025-08-30 17:16:35
Nome16;Sobrenome16;34;276.00;Pagamento Aluguel;2024-12-08 17:16:35;4000000000001161;Nome16;2025-05-07 17:16:35;F;2025-05-07 17:16:35
Nome3;Sobrenome3;21;563.00;Restaurante;2024-02-25 17:16:35;4000000000001031;Nome3;2025-05-20 17:16:35;J;2025-05-20 17:16:35
Nome57;Sobrenome57;25;667.00;Restaurante;2023-11-13 17:16:35;4000000000000571;Nome57;2025-07-05 17:16:35;J;2025-07-05 17:16:35
Nome5;Sobrenome5;23;435.00;Restaurante;2024-07-02 17:16:35;4000000000000052;Nome5;2025-08-26 17:16:35;J;2025-08-26 17:16:35
Nome50;Sobrenome50;18;660.00;Pagamento Aluguel;2023-11-20 17:16:35;4000000000000501;Nome50;2025-07-12 17:16:35;F;2025-07-12 17:16:35
Nome74;Sobrenome74;42;834.00;Supermercado;2023-05-30 17:16:35;4000000000000741;Nome74;2025-06-18 17:16:35;F;2025-06-18 17:16:35
Nome19;Sobrenome19;37;599.00;Restaurante;2024-01-20 17:16:35;4000000000000192;Nome19;2025-08-12 17:16:35;J;2025-08-12 17:16:35
Nome38;Sobrenome38;56;198.00;Supermercado;2025-02-24 17:16:35;4000000000000381;Nome38;2025-07-24 17:16:35;F;2025-07-24 17:16:35
Nome24;Sobrenome24;42;604.00;Pagamento Aluguel;2024-01-15 17:16:35;4000000000000242;Nome24;2025-08-07 17:16:35;F;2025-08-07 17:16:35
Nome58;Sobrenome58;26;218.00;Supermercado;2025-02-04 17:16:35;4000000000000581;Nome58;2025-07-04 17:16:35;F;2025-07-04 17:16:35
Nome12;Sobrenome12;30;722.00;Supermercado;2023-09-19 17:16:35;4000000000001121;Nome12;2025-05-11 17:16:35;F;2025-05-11 17:16:35
Nome1;Sobrenome1;19;581.00;Compra Online;2024-02-07 17:16:35;4000000000000012;Nome1;2025-08-30 17:16:35;J;2025-08-30 17:16:35
Nome3;Sobrenome3;21;713.00;Compra Online;2023-09-28 17:16:35;4000000000001031;Nome3;2025-05-20 17:16:35;J;2025-05-20 17:16:35
Nome23;Sobrenome23;41;603.00;Restaurante;2024-01-16 17:16:35;4000000000000232;Nome23;2025-08-08 17:16:35;J;2025-08-08 17:16:35
Nome69;Sobrenome69;37;379.00;Restaurante;2024-08-27 17:16:35;4000000000000691;Nome69;2025-06-23 17:16:35;J;2025-06-23 17:16:35
Nome98;Sobrenome98;66;108.00;Pagamento Aluguel;2025-05-25 17:16:35;4000000000000981;Nome98;2025-05-25 17:16:35;F;2025-05-25 17:16:35
Nome60;Sobrenome60;28;820.00;Pagamento Aluguel;2023-06-13 17:16:35;4000000000000601;Nome60;2025-07-02 17:16:35;F;2025-07-02 17:16:35
Nome26;Sobrenome26;44;156.00;Pagamento Aluguel;2025-04-07 17:16:35;4000000000000262;Nome26;2025-08-05 17:16:35;F;2025-08-05 17:16:35
Nome22;Sobrenome22;40;752.00;Pagamento Aluguel;2023-08-20 17:16:35;4000000000000222;Nome22;2025-08-09 17:16:35;F;2025-08-09 17:16:35
Nome54;Sobrenome54;22;514.00;Supermercado;2024-04-14 17:16:35;4000000000000541;Nome54;2025-07-08 17:16:35;F;2025-07-08 17:16:35
Nome97;Sobrenome97;65;857.00;Compra Online;2023-05-07 17:16:35;4000000000000971;Nome97;2025-05-26 17:16:35;J;2025-05-26 17:16:35
Nome73;Sobrenome73;41;983.00;Restaurante;2023-01-01 17:16:35;4000000000000731;Nome73;2025-06-19 17:16:35;J;2025-06-19 17:16:35
Nome24;Sobrenome24;42;784.00;Pagamento Aluguel;2023-07-19 17:16:35;4000000000000241;Nome24;2025-08-07 17:16:35;F;2025-08-07 17:16:35
Nome70;Sobrenome70;38;230.00;Supermercado;2025-01-23 17:16:35;4000000000000701;Nome70;2025-06-22 17:16:35;F;2025-06-22 17:16:35
Nome56;Sobrenome56;24;816.00;Pagamento Aluguel;2023-06-17 17:16:35;4000000000000561;Nome56;2025-07-06 17:16:35;F;2025-07-06 17:16:35
Nome44;Sobrenome44;62;804.00;Pagamento Aluguel;2023-06-29 17:16:35;4000000000000441;Nome44;2025-07-18 17:16:35;F;2025-07-18 17:16:35
Nome39;Sobrenome39;57;799.00;Restaurante;2023-07-04 17:16:35;4000000000000391;Nome39;2025-07-23 17:16:35;J;2025-07-23 17:16:35
Nome21;Sobrenome21;39;901.00;Compra Online;2023-03-24 17:16:35;4000000000000212;Nome21;2025-08-10 17:16:35;J;2025-08-10 17:16:35
Nome71;Sobrenome71;39;681.00;Compra Online;2023-10-30 17:16:35;4000000000000711;Nome71;2025-06-21 17:16:35;J;2025-06-21 17:16:35
Nome5;Sobrenome5;23;885.00;Compra Online;2023-04-09 17:16:35;4000000000000052;Nome5;2025-08-26 17:16:35;J;2025-08-26 17:16:35
Nome61;Sobrenome61;29;221.00;Compra Online;2025-02-01 17:16:35;4000000000000611;Nome61;2025-07-01 17:16:35;J;2025-07-01 17:16:35
Nome45;Sobrenome45;63;355.00;Restaurante;2024-09-20 17:16:35;4000000000000451;Nome45;2025-07-17 17:16:35;J;2025-07-17 17:16:35
Nome13;Sobrenome13;31;773.00;Compra Online;2023-07-30 17:16:35;4000000000000131;Nome13;2025-08-18 17:16:35;J;2025-08-18 17:16:35
Nome20;Sobrenome20;38;900.00;Pagamento Aluguel;2023-03-25 17:16:35;4000000000000202;Nome20;2025-08-11 17:16:35;F;2025-08-11 17:16:35
Nome5;Sobrenome5;23;915.00;Restaurante;2023-03-10 17:16:35;4000000000000051;Nome5;2025-08-26 17:16:35;J;2025-08-26 17:16:35
Nome70;Sobrenome70;38;80.00;Pagamento Aluguel;2025-06-22 17:16:35;4000000000000701;Nome70;2025-06-22 17:16:35;F;2025-06-22 17:16:35
Nome14;Sobrenome14;32;874.00;Supermercado;2023-04-20 17:16:35;4000000000001141;Nome14;2025-05-09 17:16:35;F;2025-05-09 17:16:35
Nome2;Sobrenome2;20;912.00;Pagamento Aluguel;2023-03-13 17:16:35;4000000000000021;Nome2;2025-08-29 17:16:35;F;2025-08-29 17:16:35
Nome30;Sobrenome30;48;160.00;Pagamento Aluguel;2025-04-03 17:16:35;4000000000000302;Nome30;2025-08-01 17:16:35;F;2025-08-01 17:16:35
Nome26;Sobrenome26;44;336.00;Pagamento Aluguel;2024-10-09 17:16:35;4000000000000261;Nome26;2025-08-05 17:16:35;F;2025-08-05 17:16:35
Nome6;Sobrenome6;24;866.00;Supermercado;2023-04-28 17:16:35;4000000000001061;Nome6;2025-05-17 17:16:35;F;2025-05-17 17:16:35
Nome51;Sobrenome51;19;361.00;Compra Online;2024-09-14 17:16:35;4000000000000511;Nome51;2025-07-11 17:16:35;J;2025-07-11 17:16:35
Nome69;Sobrenome69;37;829.00;Compra Online;2023-06-04 17:16:35;4000000000000691;Nome69;2025-06-23 17:16:35;J;2025-06-23 17:16:35
Nome68;Sobrenome68;36;678.00;Supermercado;2023-11-02 17:16:35;4000000000000681;Nome68;2025-06-24 17:16:35;F;2025-06-24 17:16:35
Nome18;Sobrenome18;36;328.00;Pagamento Aluguel;2024-10-17 17:16:35;4000000000000181;Nome18;2025-08-13 17:16:35;F;2025-08-13 17:16:35
Nome40;Sobrenome40;58;50.00;Supermercado;2025-07-22 17:16:35;4000000000000401;Nome40;2025-07-22 17:16:35;F;2025-07-22 17:16:35
Nome57;Sobrenome57;25;517.00;Compra Online;2024-04-11 17:16:35;4000000000000571;Nome57;2025-07-05 17:16:35;J;2025-07-05 17:16:35
Nome92;Sobrenome92;60;102.00;Supermercado;2025-05-31 17:16:35;4000000000000921;Nome92;2025-05-31 17:16:35;F;2025-05-31 17:16:35
Nome23;Sobrenome23;41;303.00;Restaurante;2024-11-11 17:16:35;4000000000000232;Nome23;2025-08-08 17:16:35;J;2025-08-08 17:16:35
Nome7;Sobrenome7;25;567.00;Restaurante;2024-02-21 17:16:35;4000000000001071;Nome7;2025-05-16 17:16:35;J;2025-05-16 17:16:35
Nome82;Sobrenome82;50;692.00;Pagamento Aluguel;2023-10-19 17:16:35;4000000000000821;Nome82;2025-06-10 17:16:35;F;2025-06-10 17:16:35
Nome75;Sobrenome75;43;385.00;Compra Online;2024-08-21 17:16:35;4000000000000751;Nome75;2025-06-17 17:16:35;J;2025-06-17 17:16:35
Nome8;Sobrenome8;26;888.00;Pagamento Aluguel;2023-04-06 17:16:35;4000000000000082;Nome8;2025-08-23 17:16:35;F;2025-08-23 17:16:35
Nome89;Sobrenome89;57;849.00;Compra Online;2023-05-15 17:16:35;4000000000000891;Nome89;2025-06-03 17:16:35;J;2025-06-03 17:16:35
Nome93;Sobrenome93;61;1003.00;Restaurante;2022-12-12 17:16:35;4000000000000931;Nome93;2025-05-30 17:16:35;J;2025-05-30 17:16:35
Nome19;Sobrenome19;37;899.00;Restaurante;2023-03-26 17:16:35;4000000000000192;Nome19;2025-08-12 17:16:35;J;2025-08-12 17:16:35
Nome17;Sobrenome17;35;277.00;Compra Online;2024-12-07 17:16:35;4000000000001171;Nome17;2025-05-06 17:16:35;J;2025-05-06 17:16:35
Nome42;Sobrenome42;60;952.00;Pagamento Aluguel;2023-02-01 17:16:35;4000000000000421;Nome42;2025-07-20 17:16:35;F;2025-07-20 17:16:35
Nome27;Sobrenome27;45;157.00;Compra Online;2025-04-06 17:16:35;4000000000000272;Nome27;2025-08-04 17:16:35;J;2025-08-04 17:16:35
Nome91;Sobrenome91;59;401.00;Compra Online;2024-08-05 17:16:35;4000000000000911;Nome91;2025-06-01 17:16:35;J;2025-06-01 17:16:35
Nome1;Sobrenome1;19;761.00;Compra Online;2023-08-11 17:16:35;4000000000000011;Nome1;2025-08-30 17:16:35;J;2025-08-30 17:16:35
Nome9;Sobrenome9;27;889.00;Compra Online;2023-04-05 17:16:35;4000000000000092;Nome9;2025-08-22 17:16:35;J;2025-08-22 17:16:35
Nome33;Sobrenome33;51;193.00;Compra Online;2025-03-01 17:16:35;4000000000000331;Nome33;2025-07-29 17:16:35;J;2025-07-29 17:16:35
Nome79;Sobrenome79;47;89.00;Compra Online;2025-06-13 17:16:35;4000000000000791;Nome79;2025-06-13 17:16:35;J;2025-06-13 17:16:35
Nome30;Sobrenome30;48;760.00;Pagamento Aluguel;2023-08-12 17:16:35;4000000000000302;Nome30;2025-08-01 17:16:35;F;2025-08-01 17:16:35
Nome48;Sobrenome48;66;508.00;Pagamento Aluguel;2024-04-20 17:16:35;4000000000000481;Nome48;2025-07-14 17:16:35;F;2025-07-14 17:16:35
Nome19;Sobrenome19;37;279.00;Restaurante;2024-12-05 17:16:35;4000000000001191;Nome19;2025-05-04 17:16:35;J;2025-05-04 17:16:35
Nome49;Sobrenome49;67;59.00;Restaurante;2025-07-13 17:16:35;4000000000000491;Nome49;2025-07-13 17:16:35;J;2025-07-13 17:16:35
Nome29;Sobrenome29;47;759.00;Restaurante;2023-08-13 17:16:35;4000000000000292;Nome29;2025-08-02 17:16:35;J;2025-08-02 17:16:35
Nome18;Sobrenome18;36;578.00;Supermercado;2024-02-10 17:16:35;4000000000001181;Nome18;2025-05-05 17:16:35;F;2025-05-05 17:16:35
Nome18;Sobrenome18;36;778.00;Supermercado;2023-07-25 17:16:35;4000000000000181;Nome18;2025-08-13 17:16:35;F;2025-08-13 17:16:35
Nome28;Sobrenome28;46;158.00;Supermercado;2025-04-05 17:16:35;4000000000000282;Nome28;2025-08-03 17:16:35;F;2025-08-03 17:16:35
Nome6;Sobrenome6;24;586.00;Supermercado;2024-02-02 17:16:35;4000000000000062;Nome6;2025-08-25 17:16:35;F;2025-08-25 17:16:35
Nome86;Sobrenome86;54;396.00;Pagamento Aluguel;2024-08-10 17:16:35;4000000000000861;Nome86;2025-06-06 17:16:35;F;2025-06-06 17:16:35
Nome3;Sobrenome3;21;883.00;Restaurante;2023-04-11 17:16:35;4000000000000032;Nome3;2025-08-28 17:16:35;J;2025-08-28 17:16:35
Nome11;Sobrenome11;29;321.00;Compra Online;2024-10-24 17:16:35;4000000000000111;Nome11;2025-08-20 17:16:35;J;2025-08-20 17:16:35
Nome22;Sobrenome22;40;32.00;Pagamento Aluguel;2025-08-09 17:16:35;4000000000000221;Nome22;2025-08-09 17:16:35;F;2025-08-09 17:16:35
Nome86;Sobrenome86;54;546.00;Supermercado;2024-03-13 17:16:35;4000000000000861;Nome86;2025-06-06 17:16:35;F;2025-06-06 17:16:35
Nome9;Sobrenome9;27;19.00;Restaurante;2025-08-22 17:16:35;4000000000000091;Nome9;2025-08-22 17:16:35;J;2025-08-22 17:16:35
Nome30;Sobrenome30;48;610.00;Supermercado;2024-01-09 17:16:35;4000000000000302;Nome30;2025-08-01 17:16:35;F;2025-08-01 17:16:35
Nome18;Sobrenome18;36;478.00;Supermercado;2024-05-20 17:16:35;4000000000000181;Nome18;2025-08-13 17:16:35;F;2025-08-13 17:16:35
Nome49;Sobrenome49;67;959.00;Restaurante;2023-01-25 17:16:35;4000000000000491;Nome49;2025-07-13 17:16:35;J;2025-07-13 17:16:35
Nome10;Sobrenome10;28;20.00;Pagamento Aluguel;2025-08-21 17:16:35;4000000000000101;Nome10;2025-08-21 17:16:35;F;2025-08-21 17:16:35
Nome56;Sobrenome56;24;216.00;Pagamento Aluguel;2025-02-06 17:16:35;4000000000000561;Nome56;2025-07-06 17:16:35;F;2025-07-06 17:16:35
Nome16;Sobrenome16;34;896.00;Pagamento Aluguel;2023-03-29 17:16:35;4000000000000162;Nome16;2025-08-15 17:16:35;F;2025-08-15 17:16:35
Nome4;Sobrenome4;22;584.00;Pagamento Aluguel;2024-02-04 17:16:35;4000000000000042;Nome4;2025-08-27 17:16:35;F;2025-08-27 17:16:35
Nome8;Sobrenome8;26;288.00;Pagamento Aluguel;2024-11-26 17:16:35;4000000000000082;Nome8;2025-08-23 17:16:35;F;2025-08-23 17:16:35
Nome87;Sobrenome87;55;97.00;Compra Online;2025-06-05 17:16:35;4000000000000871;Nome87;2025-06-05 17:16:35;J;2025-06-05 17:16:35
Nome18;Sobrenome18;36;898.00;Supermercado;2023-03-27 17:16:35;4000000000000182;Nome18;2025-08-13 17:16:35;F;2025-08-13 17:16:35
Nome48;Sobrenome48;66;808.00;Pagamento Aluguel;2023-06-25 17:16:35;4000000000000481;Nome48;2025-07-14 17:16:35;F;2025-07-14 17:16:35
Nome15;Sobrenome15;33;425.00;Compra Online;2024-07-12 17:16:35;4000000000001151;Nome15;2025-05-08 17:16:35;J;2025-05-08 17:16:35
Nome18;Sobrenome18;36;428.00;Pagamento Aluguel;2024-07-09 17:16:35;4000000000001181;Nome18;2025-05-05 17:16:35;F;2025-05-05 17:16:35
Nome83;Sobrenome83;51;93.00;Compra Online;2025-06-09 17:16:35;4000000000000831;Nome83;2025-06-09 17:16:35;J;2025-06-09 17:16:35
Nome76;Sobrenome76;44;236.00;Pagamento Aluguel;2025-01-17 17:16:35;4000000000000761;Nome76;2025-06-16 17:16:35;F;2025-06-16 17:16:35
Nome47;Sobrenome47;65;657.00;Compra Online;2023-11-23 17:16:35;4000000000000471;Nome47;2025-07-15 17:16:35;J;2025-07-15 17:16:35
Nome11;Sobrenome11;29;171.00;Restaurante;2025-03-23 17:16:35;4000000000000111;Nome11;2025-08-20 17:16:35;J;2025-08-20 17:16:35
Nome12;Sobrenome12;30;892.00;Pagamento Aluguel;2023-04-02 17:16:35;4000000000000122;Nome12;2025-08-19 17:16:35;F;2025-08-19 17:16:35
Nome94;Sobrenome94;62;254.00;Supermercado;2024-12-30 17:16:35;4000000000000941;Nome94;2025-05-29 17:16:35;F;2025-05-29 17:16:35
Nome19;Sobrenome19;37;429.00;Compra Online;2024-07-08 17:16:35;4000000000001191;Nome19;2025-05-04 17:16:35;J;2025-05-04 17:16:35
Nome56;Sobrenome56;24;516.00;Pagamento Aluguel;2024-04-12 17:16:35;4000000000000561;Nome56;2025-07-06 17:16:35;F;2025-07-06 17:16:35
Nome11;Sobrenome11;29;591.00;Restaurante;2024-01-28 17:16:35;4000000000000112;Nome11;2025-08-20 17:16:35;J;2025-08-20 17:16:35
Nome2;Sobrenome2;20;132.00;Pagamento Aluguel;2025-05-01 17:16:35;4000000000000022;Nome2;2025-08-29 17:16:35;F;2025-08-29 17:16:35
Nome96;Sobrenome96;64;406.00;Supermercado;2024-07-31 17:16:35;4000000000000961;Nome96;2025-05-27 17:16:35;F;2025-05-27 17:16:35
Nome9;Sobrenome9;27;169.00;Compra Online;2025-03-25 17:16:35;4000000000000091;Nome9;2025-08-22 17:16:35;J;2025-08-22 17:16:35
Nome17;Sobrenome17;35;27.00;Restaurante;2025-08-14 17:16:35;4000000000000171;Nome17;2025-08-14 17:16:35;J;2025-08-14 17:16:35
Nome72;Sobrenome72;40;982.00;Supermercado;2023-01-02 17:16:35;4000000000000721;Nome72;2025-06-20 17:16:35;F;2025-06-20 17:16:35
Nome32;Sobrenome32;50;492.00;Pagamento Aluguel;2024-05-06 17:16:35;4000000000000321;Nome32;2025-07-30 17:16:35;F;2025-07-30 17:16:35
Nome79;Sobrenome79;47;689.00;Compra Online;2023-10-22 17:16:35;4000000000000791;Nome79;2025-06-13 17:16:35;J;2025-06-13 17:16:35
Nome72;Sobrenome72;40;232.00;Pagamento Aluguel;2025-01-21 17:16:35;4000000000000721;Nome72;2025-06-20 17:16:35;F;2025-06-20 17:16:35
Nome14;Sobrenome14;32;894.00;Supermercado;2023-03-31 17:16:35;4000000000000142;Nome14;2025-08-17 17:16:35;F;2025-08-17 17:16:35
Nome22;Sobrenome22;40;782.00;Supermercado;2023-07-21 17:16:35;4000000000000221;Nome22;2025-08-09 17:16:35;F;2025-08-09 17:16:35
Nome61;Sobrenome61;29;821.00;Compra Online;2023-06-12 17:16:35;4000000000000611;Nome61;2025-07-01 17:16:35;J;2025-07-01 17:16:35
Nome97;Sobrenome97;65;257.00;Compra Online;2024-12-27 17:16:35;4000000000000971;Nome97;2025-05-26 17:16:35;J;2025-05-26 17:16:35
Nome50;Sobrenome50;18;360.00;Pagamento Aluguel;2024-09-15 17:16:35;4000000000000501;Nome50;2025-07-12 17:16:35;F;2025-07-12 17:16:35
Nome8;Sobrenome8;26;138.00;Supermercado;2025-04-25 17:16:35;4000000000000082;Nome8;2025-08-23 17:16:35;F;2025-08-23 17:16:35
Nome23;Sobrenome23;41;633.00;Compra Online;2023-12-17 17:16:35;4000000000000231;Nome23;2025-08-08 17:16:35;J;2025-08-08 17:16:35
Nome2;Sobrenome2;20;162.00;Supermercado;2025-04-01 17:16:35;4000000000000021;Nome2;2025-08-29 17:16:35;F;2025-08-29 17:16:35
Nome91;Sobrenome91;59;851.00;Restaurante;2023-05-13 17:16:35;4000000000000911;Nome91;2025-06-01 17:16:35;J;2025-06-01 17:16:35
Nome1;Sobrenome1;19;731.00;Restaurante;2023-09-10 17:16:35;4000000000000012;Nome1;2025-08-30 17:16:35;J;2025-08-30 17:16:35
Nome57;Sobrenome57;25;67.00;Restaurante;2025-07-05 17:16:35;4000000000000571;Nome57;2025-07-05 17:16:35;J;2025-07-05 17:16:35
Nome24;Sobrenome24;42;34.00;Supermercado;2025-08-07 17:16:35;4000000000000241;Nome24;2025-08-07 17:16:35;F;2025-08-07 17:16:35
Nome29;Sobrenome29;47;459.00;Restaurante;2024-06-08 17:16:35;4000000000000292;Nome29;2025-08-02 17:16:35;J;2025-08-02 17:16:35
Nome89;Sobrenome89;57;549.00;Compra Online;2024-03-10 17:16:35;4000000000000891;Nome89;2025-06-03 17:16:35;J;2025-06-03 17:16:35
Nome37;Sobrenome37;55;497.00;Compra Online;2024-05-01 17:16:35;4000000000000371;Nome37;2025-07-25 17:16:35;J;2025-07-25 17:16:35
Nome17;Sobrenome17;35;147.00;Restaurante;2025-04-16 17:16:35;4000000000000172;Nome17;2025-08-14 17:16:35;J;2025-08-14 17:16:35
Nome100;Sobrenome100;18;410.00;Supermercado;2024-07-27 17:16:35;4000000000001001;Nome100;2025-05-23 17:16:35;F;2025-05-23 17:16:35
Nome100;Sobrenome100;18;560.00;Pagamento Aluguel;2024-02-28 17:16:35;4000000000001001;Nome100;2025-05-23 17:16:35;F;2025-05-23 17:16:35
Nome3;Sobrenome3;21;733.00;Compra Online;2023-09-08 17:16:35;4000000000000032;Nome3;2025-08-28 17:16:35;J;2025-08-28 17:16:35
Nome92;Sobrenome92;60;1002.00;Supermercado;2022-12-13 17:16:35;4000000000000921;Nome92;2025-05-31 17:16:35;F;2025-05-31 17:16:35
Nome7;Sobrenome7;25;867.00;Restaurante;2023-04-27 17:16:35;4000000000001071;Nome7;2025-05-16 17:16:35;J;2025-05-16 17:16:35
Nome87;Sobrenome87;55;397.00;Compra Online;2024-08-09 17:16:35;4000000000000871;Nome87;2025-06-05 17:16:35;J;2025-06-05 17:16:35
Nome82;Sobrenome82;50;542.00;Supermercado;2024-03-17 17:16:35;4000000000000821;Nome82;2025-06-10 17:16:35;F;2025-06-10 17:16:35
Nome25;Sobrenome25;43;755.00;Restaurante;2023-08-17 17:16:35;4000000000000252;Nome25;2025-08-06 17:16:35;J;2025-08-06 17:16:35
Nome87;Sobrenome87;55;547.00;Restaurante;2024-03-12 17:16:35;4000000000000871;Nome87;2025-06-05 17:16:35;J;2025-06-05 17:16:35
Nome14;Sobrenome14;32;624.00;Pagamento Aluguel;2023-12-26 17:16:35;4000000000000141;Nome14;2025-08-17 17:16:35;F;2025-08-17 17:16:35
Nome30;Sobrenome30;48;940.00;Pagamento Aluguel;2023-02-13 17:16:35;4000000000000301;Nome30;2025-08-01 17:16:35;F;2025-08-01 17:16:35
Nome53;Sobrenome53;21;63.00;Restaurante;2025-07-09 17:16:35;4000000000000531;Nome53;2025-07-09 17:16:35;J;2025-07-09 17:16:35
Nome9;Sobrenome9;27;739.00;Restaurante;2023-09-02 17:16:35;4000000000000092;Nome9;2025-08-22 17:16:35;J;2025-08-22 17:16:35
Nome72;Sobrenome72;40;832.00;Pagamento Aluguel;2023-06-01 17:16:35;4000000000000721;Nome72;2025-06-20 17:16:35;F;2025-06-20 17:16:35
Nome32;Sobrenome32;50;942.00;Supermercado;2023-02-11 17:16:35;4000000000000321;Nome32;2025-07-30 17:16:35;F;2025-07-30 17:16:35
Nome56;Sobrenome56;24;366.00;Supermercado;2024-09-09 17:16:35;4000000000000561;Nome56;2025-07-06 17:16:35;F;2025-07-06 17:16:35
Nome2;Sobrenome2;20;282.00;Supermercado;2024-12-02 17:16:35;4000000000000022;Nome2;2025-08-29 17:16:35;F;2025-08-29 17:16:35
Nome51;Sobrenome51;19;661.00;Compra Online;2023-11-19 17:16:35;4000000000000511;Nome51;2025-07-11 17:16:35;J;2025-07-11 17:16:35
Nome63;Sobrenome63;31;73.00;Compra Online;2025-06-29 17:16:35;4000000000000631;Nome63;2025-06-29 17:16:35;J;2025-06-29 17:16:35
Nome25;Sobrenome25;43;905.00;Compra Online;2023-03-20 17:16:35;4000000000000252;Nome25;2025-08-06 17:16:35;J;2025-08-06 17:16:35
Nome21;Sobrenome21;39;331.00;Restaurante;2024-10-14 17:16:35;4000000000000211;Nome21;2025-08-10 17:16:35;J;2025-08-10 17:16:35
Nome31;Sobrenome31;49;941.00;Compra Online;2023-02-12 17:16:35;4000000000000311;Nome31;2025-07-31 17:16:35;J;2025-07-31 17:16:35
Nome8;Sobrenome8;26;918.00;Supermercado;2023-03-07 17:16:35;4000000000000081;Nome8;2025-08-23 17:16:35;F;2025-08-23 17:16:35
Nome80;Sobrenome80;48;990.00;Supermercado;2022-12-25 17:16:35;4000000000000801;Nome80;2025-06-12 17:16:35;F;2025-06-12 17:16:35
Nome29;Sobrenome29;47;609.00;Compra Online;2024-01-10 17:16:35;4000000000000292;Nome29;2025-08-02 17:16:35;J;2025-08-02 17:16:35
Nome14;Sobrenome14;32;144.00;Pagamento Aluguel;2025-04-19 17:16:35;4000000000000142;Nome14;2025-08-17 17:16:35;F;2025-08-17 17:16:35
Nome99;Sobrenome99;67;259.00;Restaurante;2024-12-25 17:16:35;4000000000000991;Nome99;2025-05-24 17:16:35;J;2025-05-24 17:16:35
Nome85;Sobrenome85;53;545.00;Compra Online;2024-03-14 17:16:35;4000000000000851;Nome85;2025-06-07 17:16:35;J;2025-06-07 17:16:35
Nome16;Sobrenome16;34;126.00;Supermercado;2025-05-07 17:16:35;4000000000001161;Nome16;2025-05-07 17:16:35;F;2025-05-07 17:16:35
Nome92;Sobrenome92;60;702.00;Supermercado;2023-10-09 17:16:35;4000000000000921;Nome92;2025-05-31 17:16:35;F;2025-05-31 17:16:35
Nome64;Sobrenome64;32;824.00;Pagamento Aluguel;2023-06-09 17:16:35;4000000000000641;Nome64;2025-06-28 17:16:35;F;2025-06-28 17:16:35
Nome36;Sobrenome36;54;46.00;Supermercado;2025-07-26 17:16:35;4000000000000361;Nome36;2025-07-26 17:16:35;F;2025-07-26 17:16:35
Nome65;Sobrenome65;33;975.00;Restaurante;2023-01-09 17:16:35;4000000000000651;Nome65;2025-06-27 17:16:35;J;2025-06-27 17:16:35
Nome6;Sobrenome6;24;716.00;Pagamento Aluguel;2023-09-25 17:16:35;4000000000001061;Nome6;2025-05-17 17:16:35;F;2025-05-17 17:16:35
Nome61;Sobrenome61;29;521.00;Compra Online;2024-04-07 17:16:35;4000000000000611;Nome61;2025-07-01 17:16:35;J;2025-07-01 17:16:35
Nome4;Sobrenome4;22;284.00;Pagamento Aluguel;2024-11-30 17:16:35;4000000000000042;Nome4;2025-08-27 17:16:35;F;2025-08-27 17:16:35
